full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,diameter,H
"  1798 Watts (1949 GC)",2.199604268898602,.1219399202475365,6.193658750704236,44.26852051164704,4.196724139716435,1.931384699772965,2.467823838024238,3.26230854051203,30152,0,6.631,13.0
"   228 Agathe",2.200847563646026,.2423172229563877,2.5365510975348,313.3441828028308,19.06602526216891,1.66754429387299,2.734150833419063,3.26507489095978,45756,0,9.30,12.48
"  2862 Vavilov (1977 JP)",2.201313258006814,.1144226981633455,3.485042320654511,225.8253945924823,278.0293685293096,1.949433055522929,2.453193460490698,3.26611126945884,31687,0,6.031,12.7
"  6027 (1993 SS2)",2.202198961202578,.155848964208324,5.648099628933673,106.5218679316819,169.4044673972532,1.858988534118509,2.545409388286647,3.26808265822462,23102,0,,12.8
"  2880 Nihondaira (1983 CA)",2.203509539904708,.167772079168465,5.738974662805175,39.66606115669429,246.9739061575809,1.833822162927348,2.573196916882069,3.27100045773806,21687,0,7.051,12.7
"  3173 McNaught (1981 WY)",2.204049758578134,.2101923866234326,7.794735832905445,79.2786912585387,219.2724496770179,1.740775279585796,2.667324237570472,3.27220342314101,14923,0,6.026,13.0
"  1536 Pielinen (1939 SE)",2.204073549589153,.1953389802917899,1.53437667225311,195.6929132415749,170.7623800078835,1.773532069924302,2.634615029254004,3.27225640463846,41550,0,7.975,12.7
"  3221 Changshi (1981 XF2)",2.204087786329385,.1536109845077304,3.651696940190585,78.61106782619974,233.4153279377961,1.865515691529864,2.542659881128906,3.27228810934698,23816,0,5.998,13.0
"  2854 Rawson (1964 JE)",2.205344464245503,.1217453415509519,5.764319959236434,292.3321839325333,280.49136531,1.936854049208433,2.473834879282573,3.27508708926365,31692,0,7.238,12.8
"  1496 Turku (1938 SA1)",2.205839036314997,.1619697839940482,2.500759510279721,294.3700084423462,.9174473885125752,1.848559764077417,2.563118308552576,3.27618886096068,32730,0,7.758,12.5
"  1837 Osita (1971 QZ1)",2.205865053214292,.08604765663566061,3.845481849848783,280.9257484652423,315.1846919663437,2.016055534530706,2.395674571897879,3.27624682293723,20136,0,7.530,12.9
"  2088 Sahlia (1976 DJ)",2.207141791235439,.07924505549729181,5.539723910912381,359.75996100789,90.85870953245114,2.032236717498594,2.382046864972283,3.27909163482637,25343,0,7.370,12.42
"   864 Aase (A921 SB)",2.207849123772445,.1910138340180684,5.45061832801271,163.1519260493959,193.9074968948309,1.786119397707238,2.629578849837652,3.28066805871009,35183,0,7.249,12.87
"  1900 Katyusha (1971 YB)",2.209259600807183,.1347272295036766,6.543072016929734,281.9081604923189,142.3828160374756,1.911612175536032,2.506907026078333,3.28381232649211,23660,0,8.820,12.2
"  1699 Honkasalo (1941 QD)",2.211330169225229,.1657045200073743,1.971362268881708,273.5335465889272,51.74498764309411,1.844902764955936,2.577757573494521,3.28842990355578,31639,0,8.345,12.5
"   831 Stateira (1916 AA)",2.211872019119125,.1461901114546122,4.836452855320474,178.0723827260984,225.2263111557464,1.888518202120762,2.535225836117488,3.2896386406546,36752,0,7.218,13.0
"  2341 Aoluta (1976 YU1)",2.211971294717325,.1519444548617015,4.0746035042734,61.5911952027633,347.7812952251087,1.875874522171769,2.548068067262881,3.28986011674288,30574,0,6.504,12.8
"  2675 Tolkien (1982 GB)",2.212601543111049,.1020803201795275,2.753379638727986,5.904155391656762,1.770741945997313,1.986738469160556,2.438464617061541,3.29126626750009,29386,0,10.960,12.2
"  1789 Dobrovolsky (1966 QC)",2.213653555482975,.1886001931577306,1.976033276963214,102.0897830863375,214.8724715774057,1.796158067334589,2.631149043631361,3.29361386441296,27213,0,7.922,12.2
"  2467 Kollontai (1966 PJ)",2.213654773377739,.1607807113227712,5.799132060309366,309.2179335408102,17.93047944305766,1.857741784291018,2.56956776246446,3.29361658250471,30924,0,8.127,12.5
"  1608 Munoz (1951 RZ)",2.214181313258418,.1693803390274085,3.943261368370718,356.969024731337,316.4813949935891,1.839142531750555,2.589220094766281,3.2947917817439,25287,0,6.711,12.7
"  1412 Lagrula (1937 BA)",2.214374724568047,.1130379877883483,4.718078748778241,66.11694002975003,13.97008699260801,1.964066261493497,2.464683187642597,3.29522349700514,31998,0,7.806,12.3
"  1703 Barry (1930 RB)",2.214470065784964,.1720718221695511,4.519475464203801,112.2802642570732,213.3816400048142,1.833422166425419,2.595517965144508,3.29543631599852,31954,0,9.211,12.1
"  2717 Tellervo (1940 WJ)",2.214633665259751,.2184304450066178,3.285336183349167,164.8649585093899,163.4953855601812,1.730890248230426,2.698377082289075,3.29580151055418,39801,0,8.991,12.1
"  5008 Miyazawakenji (1991 DV)",2.215063904582597,.06112134670941585,5.269454681681246,142.4171883958346,42.15173505600402,2.079676215687092,2.350451593478103,3.29676197568558,24716,0,7.206,12.8
