full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
" 20589 Hennyadmoni (1999 RQ168)",2.584192969446402,.1472093943136618,3.2349985194055,353.9454908037723,226.6825042795453,2.203775487624574,2.96461045126823,4.15427854966693,9602,0,964,,,14.6
" 20591 Sameergupta (1999 RC177)",2.60194601490859,.05637286211931306,3.576776004172384,339.8957319449466,284.0764220225319,2.455266870968252,2.748625158848928,4.19716096040945,7726,0,839,,,14.8
" 20852 Allilandstrom (2000 VY12)",2.525691359064977,.08320943463035904,2.504455886191939,104.9057933113251,159.9874976397455,2.315530009026398,2.735852709103558,4.01401156942931,14097,0,831,,,15.2
" 20853 Yunxiangchu (2000 VQ13)",2.523276621674349,.09988130038576613,4.13496246992681,108.0125259302913,346.3054844512533,2.271248471468513,2.775304771880186,4.00825643232136,9257,0,672,,,15.4
" 20941 (1341 T-2)",2.674533432164244,.05991010099310407,2.749345366849276,.6541351347803115,85.13291003987389,2.514301864133851,2.834765000194637,4.37401480616621,16230,0,803,,,14.9
" 20942 (2092 T-2)",2.647802375387707,.0967717306553567,5.292585626566475,181.2752513123156,337.6650155472025,2.391569957088074,2.90403479368734,4.30860373342678,20941,0,749,,,14.6
" 20949 (3024 T-2)",2.662809181812044,.03110585287860633,22.0759191262258,7.724520184901067,81.41213831431325,2.579980231158796,2.745638132465291,4.34528504599535,20942,0,346,,,15.4
" 20981 (1981 EZ16)",2.570308622300518,.1354194037012057,7.749476196483959,346.9786731751055,80.39821780454616,2.222238961340514,2.918378283260521,4.12084341052406,13550,0,575,,,15.0
" 21138 (1993 FS24)",2.620987350510839,.0811053155306074,4.503128164734942,352.8065900962879,211.2442892361322,2.408411344445927,2.833563356575752,4.2433180984879,9108,0,857,,,14.9
" 21140 (1993 FN28)",2.589304745895307,.2110847373553688,3.983188087436942,338.8774032132932,198.5153030974766,2.042742033674986,3.135867458115628,4.16661097314558,9137,0,469,,,15.4
" 21189 (1994 JB)",2.543274490260063,.1937930219732737,3.155416468496073,65.84948941505438,223.1732789771264,2.050405641085028,3.036143339435098,4.05600101545678,9219,0,664,,,15.1
" 21190 (1994 JQ)",2.537358065610963,.05175061976260995,2.328836300769839,39.90914115218564,5.708810022028414,2.406048213155938,2.668667918065987,4.04185602463156,8683,0,701,,,15.0
" 21191 (1994 JL6)",2.529523762295482,.01496008409062505,2.32348884721346,200.3497511460103,101.6622603813,2.491681874102308,2.567365650488657,4.02315113328281,8728,0,819,,,15.1
" 21200 (1994 PU10)",2.736634410864916,.006482653235680971,6.527398978161613,151.1980830797922,115.0483890564868,2.718893758946447,2.754375062783386,4.52723853505611,8929,0,773,,,14.8
" 21232 (1995 SH26)",2.529450109317619,.131610148917103,1.738483830252089,353.7213569386574,310.8202959046696,2.196548803751945,2.862351414883294,4.02297541943376,9662,0,1097,,,14.9
" 21236 (1995 WE3)",2.540376094908419,.09393263526384528,4.398147951269583,65.54369573041551,133.33531607,2.301751873752395,2.779000316064443,4.04906947235071,8779,0,1052,,,14.9
" 21250 Kamikouchi (1995 YQ2)",2.729642410741406,.1259402014801588,12.39229033385337,68.15609141378316,315.3000478813744,2.385870695563847,3.073414125918965,4.50989923061927,7987,0,717,,,14.7
" 21299 (1996 WC)",2.615843089092478,.252878024651045,4.649363985218605,36.51400248500419,43.87656119745935,1.954353855925685,3.277332322259271,4.23083156942263,9126,0,939,,,14.8
" 21317 (1996 XV18)",2.541937379185124,.03726652713636283,3.62208176288161,216.5109304443509,220.8544680643333,2.447208200864787,2.636666557505461,4.05280280915848,7343,0,461,,,15.6
" 21324 (1997 AY5)",2.56290678181864,.1502839880903368,5.904088986073961,276.770618029494,183.6306321404773,2.177742929543165,2.948070634094116,4.10305574757428,7757,0,526,,,15.3
" 21331 Lodovicoferrari (1997 BO)",2.570274321831048,.2274230633022831,5.279636977453996,324.4925332279443,317.5142246248107,1.985734662033033,3.154813981629064,4.12076092253558,7711,0,654,,,15.0
" 21336 Andyblanchard (1997 BU8)",2.633488827917321,.02887317470961353,1.710664591030511,155.507132865179,191.0857167057636,2.557451644893049,2.709526010941594,4.27371367710476,7662,0,907,,,14.7
" 21446 Tedflint (1998 HV18)",2.532679077830035,.101781249437291,3.872987946297358,242.7440699693973,255.6191113384432,2.274899836864809,2.790458318795262,4.03068116878243,9223,0,1146,,,14.5
" 21503 Beksha (1998 KL18)",2.53327939674107,.110769996135449,5.332616713802767,28.86271465149623,176.1741759751261,2.252668047754049,2.813890745728091,4.03211433743575,8249,0,736,,,14.8
" 21567 (1998 RB2)",2.537882541850564,.212428772865582,6.992419355449011,130.9190691583762,87.96005899942443,1.998763267808264,3.077001815892863,4.0431092771888,13207,0,1218,,,14.5
" 21824 (1999 TD75)",2.520555681656518,.1016357749336519,2.774093592986429,74.26686888041736,196.5768369402732,2.264377051687938,2.776734311625097,4.00177480963938,13041,0,1029,,,15.0
" 21832 (1999 TZ93)",2.54276449847486,.04859078530373354,3.967805754084068,153.1198234416006,150.2787005217253,2.419209574651513,2.666319422298208,4.05478107822335,7812,0,1161,,,14.6
" 21866 (1999 TP247)",2.57256524698201,.1057085618698233,5.181178501944275,69.26220920797176,196.7464556417126,2.300623074407255,2.844507419556765,4.12627149665762,9598,0,797,,,14.9
" 22153 Kathbarnhart (2000 WT58)",2.531896090891649,.1121725705656553,1.645591430543312,161.7732341335916,.7401829246704217,2.247886797971199,2.815905383812099,4.02881216366268,9629,0,703,,,15.0
" 22193 (2712 P-L)",2.650511134821703,.04517599258166514,2.970797529988663,112.3338242042415,136.2581063187739,2.530771663457377,2.770250606186029,4.315217117147,20940,0,766,,,14.8
" 22363 (1993 FX21)",2.576497013309875,.04274038561897078,3.071206662499188,200.367862845072,80.453652640588,2.466376537414884,2.686617489204865,4.13573465753925,9137,0,927,,,14.8
" 22387 (1994 PN14)",2.56020309608013,.1813062186263046,6.214139019556205,327.8845806796314,306.2570093196276,2.096022353814484,3.024383838345776,4.09656480893091,8268,0,558,,,15.2
" 22429 Jurasek (1996 DD1)",2.673358346810303,.06594953505346794,22.82268903859849,115.2693874990001,343.3015747078322,2.497051606806856,2.84966508681375,4.37113246635008,8040,0,620,,,14.6
" 22478 (1997 EM48)",2.564560991653075,.2378041569473221,4.627786288307931,208.4574695907296,340.8892040971911,1.954697727093027,3.174424256213123,4.10702882043743,9229,0,765,,,14.8
" 22511 (1997 YC10)",2.586079951623014,.07454396085175995,1.845635081821799,215.3238866357451,265.9274774714613,2.393303308949707,2.778856594296321,4.1588295722804,9251,0,1043,,,14.9
" 22555 Joevellone (1998 FU118)",2.56232668098338,.1174422793752123,5.367931964524097,229.8147156275633,266.5418132282919,2.261401195064769,2.863252166901991,4.10166276789647,8250,0,847,,,14.8
" 22620 (1998 KZ26)",2.55838467180847,.1328069612210836,9.558205969097815,43.6686608382608,303.8645331711272,2.218613377910988,2.898155965705953,4.09220111021326,8197,0,783,,,15.0
" 22863 Namarkarian (1999 RJ152)",2.579551117642606,.05024049997509317,2.775730009112085,186.63422823,354.043019684795,2.449953179780931,2.709149055504281,4.14309040495124,9607,0,842,,,14.8
" 22916 (1999 TX40)",2.611007629105998,.1597143365773148,13.16464319861433,23.80745339772559,273.811028265653,2.193992277825026,3.02802298038697,4.21910577461394,8136,0,707,,,14.7
" 22990 Mattbrenner (1999 VA62)",2.623321153539761,.1238035762371748,1.185682226144008,226.0985099807678,306.8340811795014,2.298544613112907,2.948097693966614,4.24898691989411,8578,0,972,,,14.7
" 23182 Siyaxuza (2000 OV12)",2.523170122269397,.0626673861655926,6.693738519136635,118.304826002013,227.3120860922857,2.365049645855655,2.681290598683139,4.0080026715464,10259,0,827,,,14.9
