full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
"   878 Mildred (1916 f)",2.360642108297184,.2263601556346033,2.065322758311298,172.8433295403352,190.2780613617832,1.826286793265435,2.894997423328932,3.6270490331469,36796,0,1426,,,14.7
"  1863 Antinous (1948 EA)",2.259266405241085,.6064252612808586,18.39729141667921,346.4653526536375,268.0196229349946,.8891901851396937,3.629342625342476,3.39593500006149,25168,0,840,,,15.54
"  2061 Anza (1960 UA)",2.266275691773096,.53565499297472,3.797872414911313,207.4103018188222,157.0027630378624,1.0523338020176,3.480217581528592,3.41175088651715,20659,0,367,,,16.56
"  2201 Oljato (1947 XC)",2.174887833007463,.7129239288439539,2.5224771827215,74.98977951277109,98.2665929473271,.6243582543048694,3.725417411710057,3.20747660833888,31467,0,925,0,5,15.25
"  2368 Beltrovata (1977 RA)",2.105133769359724,.4131552025535154,5.222764273854116,287.3351994766903,43.06805509978828,1.235386800477662,2.974880738241786,3.05441292831735,14800,0,985,,,15.21
"  3102 Krok (1981 QA)",2.150475661737163,.4495133015721418,8.443885026548244,172.0861099597288,154.7541730087532,1.183808247079154,3.117143076395171,3.15362463767351,13383,0,760,,,16.1
"  3288 Seleucus (1982 DV)",2.03310942807809,.4562171933195266,5.930740520415432,218.6529998518859,349.3093839062623,1.105569951088836,2.960648905067344,2.89900746532316,13053,0,1621,,,15.2
"  3360 Syrinx (1981 VA)",2.465966101372678,.7456735597064886,21.16143207463859,242.5580340334107,63.44171688186739,.6271603804465813,4.304771822298775,3.87247707668576,13196,0,458,,,15.9
"  3551 Verenia (1983 RD)",2.092032577947748,.4876852936726672,9.51492961950062,173.8391015288315,193.2396081933592,1.071779055798514,3.112286100096983,3.02594386554248,12636,0,415,,,16.75
"  3671 Dionysus (1984 KD)",2.199064456396229,.5412535144745289,13.53281349073717,82.08472204498555,204.243689823858,1.008813090815751,3.389315821976707,3.26110769253781,12281,0,519,,,16.4
"  4197 Morpheus (1982 TA)",2.296733046693721,.7715934328738622,12.57615073172855,7.180726820498586,122.4068871117635,.5245889108004684,4.068877182586974,3.48075921239602,23047,0,752,4,2,14.6
"  4216 Neunkirchen (1988 AF5)",2.356933214021983,.1704750187223423,4.457108817928535,202.5846793458565,49.46271006432972,1.955134980234275,2.758731447809691,3.61850450022573,15715,0,1512,,,14.1
"  4267 Basner (1971 QP)",2.327131739758455,.2032873777558468,2.280856606874637,244.4554797387855,92.36385461627945,1.854055230690557,2.800208248826353,3.55009239826579,16874,0,1709,,,14.1
"  4320 Jarosewich (1981 EJ17)",2.196452926586064,.1139780896175094,6.44692260175343,191.00794449,277.6129340287089,1.946105418078997,2.446800435093131,3.25530025636092,23270,0,1080,,,14.9
"  4330 Vivaldi (1982 UJ3)",2.242689187961441,.03751993142708352,2.667951002128521,199.5581084553038,210.0292980190382,2.158543643416865,2.326834732506016,3.35862747396721,21268,0,1504,,,13.9
"  4394 Fritzheide (1981 EB19)",2.248770698415651,.2314544540403166,1.685206515527425,168.749540400637,140.9334816388094,1.728282704151995,2.769258692679307,3.37229813926847,17141,0,1272,,,14.9
"  4486 Mithra (1987 SB)",2.199997774945247,.6629199440862888,3.039671912679717,82.23855048305438,168.8795073919091,.7415753729885841,3.65842017690191,3.26318401313764,11278,0,765,8,9,15.6
"  4688 (1980 WF)",2.235527450927469,.5150294408275349,6.376275883538113,241.3156966619497,213.5890962270278,1.08416499792169,3.386889903933248,3.34255231274448,11110,0,212,,,19.4
"  4734 Rameau (1982 UQ3)",2.415872590538445,.1919102144421116,.9756309276912646,5.061383852390639,23.99378620324279,1.952241963623392,2.879503217453498,3.75508041666543,13472,0,1236,,,14.6
"  4802 Khatchaturian (1989 UA7)",2.218704353825498,.212056974567213,.7442192664703244,103.0813123016671,213.4327023970553,1.748212621094159,2.689196086556836,3.30489263804394,25049,0,1274,,,14.7
"  4878 Gilhutton (1968 OF)",2.289379759175532,.1540824821317505,6.183732027716365,224.0162799351123,120.5067171677359,1.936626443339577,2.642133075011487,3.46405644893007,18150,0,1355,,,14.8
"  4924 Hiltner (1981 EQ40)",2.153781239502234,.2145432256224012,1.731262543942317,180.0787559766176,148.8413889223628,1.691702065094411,2.615860413910056,3.16089876541764,13561,0,1358,,,15.1
"  5310 Papike (1981 EP26)",2.390248101466893,.08582153008805131,6.1914762161107,171.710826941068,45.3845985286511,2.185113352108945,2.595382850824842,3.69549547751756,20980,0,1393,,,14.2
"  5341 Purgathofer (6040 P-L)",2.177609861835499,.2059930285701818,1.199304625077069,303.0768241694798,57.85875824990032,1.729037411351709,2.626182312319289,3.2135000741777,22777,0,1143,,,14.9
"  5365 Fievez (1981 EN1)",2.219936034495506,.09549477663191547,1.602596838250599,80.69707428418467,179.1639771041175,2.007943738744218,2.431928330246794,3.30764501281316,14536,0,1736,,,14.4
"  5649 Donnashirley (1990 WZ2)",2.280020590980055,.3373807444374332,21.72996917664839,3.464052162625074,62.55161105664212,1.510785546662528,3.049255635297583,3.44283616233652,14969,0,623,,,14.6
"  5723 Hudson (1986 RR2)",2.272599085367272,.2448786978558076,5.583344769632193,163.1653697369321,194.4027509153125,1.716087980594235,2.829110190140308,3.42604011379229,17696,0,1729,,,14.2
"  5751 Zao (1992 AC)",2.102859346294051,.4236052078582253,16.07205320005916,121.6831661571699,25.25522295731085,1.212077175810548,2.993641516777554,3.04946420447106,10365,0,1315,,,14.7
