full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,diameter,H
" 97514 (2000 DL1)",2.017361092490285,.272499929227538,35.35817563406165,4.287461221436075,119.0960026569748,1.467630337560294,2.567091847420277,2.86538948732858,13496,0,,13.9
"  5402 Kejosmith (1989 UK2)",2.045970654349037,.1366333514727622,16.70627126705248,237.0477397755777,133.374308941751,1.766422826830407,2.325518481867666,2.92655912582886,11205,0,4.191,13.5
"  4095 Ishizuchisan (1987 SG)",2.119942644434237,.1178400181300267,2.515990436156661,255.9290054039264,89.81924256401477,1.87012856477949,2.369756724088985,3.08669962357932,24342,0,4.845,14.0
"  2335 James (1974 UB)",2.123508630396602,.3599500146515318,36.31987328474586,19.99268670958005,79.42770759097152,1.359151667772691,2.887865593020513,3.09449117049091,15718,0,6.367,13.5
"  1706 Dieckvoss (1931 TS)",2.125342083361041,.1145212338958861,1.875983778306438,279.7277088192716,339.2128326432171,1.881945285523681,2.3687388811984,3.09849974508091,31320,0,6.111,13.0
"  5781 Barkhatova (1990 SM28)",2.136123086904349,.03861576376726328,2.711300362101607,259.0959741555882,171.1833866748787,2.053635062402653,2.218611111406044,3.12210577798029,24252,0,5.599,13.6
"  6414 Mizunuma (1993 UX)",2.136364456596421,.06865661314430914,1.818425165434805,23.06573773965758,201.2265337147836,1.989688908564629,2.283040004628214,3.12263496307412,22715,0,4.441,13.8
"  3392 Setouchi (1979 YB)",2.140033144226575,.2804815978338052,26.32313738637797,266.7792094784134,240.0405439108187,1.539793228516603,2.740273059936547,3.13068196720323,13857,0,,13.7
"  9900 Llull (1997 LL6)",2.140571748431953,.2112271198541638,3.492394385190547,136.9292904922735,119.7145222903356,1.68842494316948,2.592718553694426,3.13186393807766,22566,0,3.688,13.8
"  4072 Yayoi (1981 UJ4)",2.144880155564814,.06472818981220856,2.161445772449521,21.30475165567385,126.4172508740069,2.006045945730976,2.283714365398652,3.14132412013039,16227,0,4.694,13.4
"  3610 Decampos (1981 EA1)",2.148605204162345,.04613291653465241,2.077426843811344,115.9657536686047,38.72414014519956,2.049483779612803,2.247726628711886,3.14951105595415,24728,0,,13.7
"  5633 (1978 UL7)",2.149140916316463,.1115922503909686,2.432643044052726,258.0418825557123,352.5202547947045,1.909313445057401,2.388968387575526,3.15068903168045,32083,0,,13.4
"  1917 Cuyo (1968 AA)",2.149216198812282,.5056579681312026,23.96158752312865,188.313807331994,194.5460053371295,1.062447902646197,3.235984494978367,3.15085458188415,23142,0,5.7,13.9
"  6274 Taizaburo (1992 FV)",2.149595364954648,.1162569252676788,3.935551239370766,95.92131371005534,159.1464811260178,1.899690017255367,2.399500712653929,3.15168843243051,14012,0,4.923,13.7
"  2972 Niilo (1939 TB)",2.150951204000356,.1691377501362871,1.096724284477731,204.3142624472584,139.4461800416169,1.787144156702798,2.514758251297914,3.15467075369931,28396,0,4.728,13.5
"  2941 Alden (1930 YV)",2.151206273287646,.08999805810257698,3.239737697809534,10.3366283775781,65.1028192272056,1.957601886113676,2.344810660461616,3.15523191250698,31548,0,4.820,13.4
"  8416 Okada (1996 VB8)",2.15290605983012,.1953178688311044,3.315858031140978,170.008860821196,130.3946989313262,1.73240503643053,2.573407083229709,3.15897233487912,13351,0,4.198,13.8
"  4552 Nabelek (1980 JC)",2.153474167025135,.1555535300349248,2.231265861760801,350.2091629239129,319.1888777173299,1.818493658505356,2.488454675544914,3.16022279814756,24990,0,,13.6
"  4359 Berlage (1935 TG)",2.153588617159564,.1658801115567527,1.146800593446866,173.4298284477997,185.7771450762271,1.796351097097783,2.510826137221346,3.1604747348101,30054,0,5.084,13.7
"  1988 Delores (1952 SV)",2.153867495272578,.1022323132463603,4.252604917164298,106.3603139802712,235.167113591625,1.933672638804718,2.374062351740437,3.16108865133739,23626,0,5.761,13.5
"  3676 Hahn (1984 GA)",2.153919655890729,.05410018614766728,3.073350218542982,359.0471331187177,234.1464817960925,2.037392201559921,2.270447110221537,3.16120348105884,24641,0,4.923,13.8
"  8260 Momcheva (1984 SH)",2.15565348448107,.1724862801060647,2.826819961570719,114.6106681161816,176.8767210249527,1.783832833745253,2.527474135216886,3.16502123336809,25051,0,,13.8
