full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
"  2201 Oljato (1947 XC)",2.174887833007463,.7129239288439539,2.5224771827215,74.98977951277109,98.2665929473271,.6243582543048694,3.725417411710057,3.20747660833888,31467,0,925,0,5,15.25
"  3102 Krok (1981 QA)",2.150475661737163,.4495133015721418,8.443885026548244,172.0861099597288,154.7541730087532,1.183808247079154,3.117143076395171,3.15362463767351,13383,0,760,,,16.1
"  3360 Syrinx (1981 VA)",2.465966101372678,.7456735597064886,21.16143207463859,242.5580340334107,63.44171688186739,.6271603804465813,4.304771822298775,3.87247707668576,13196,0,458,,,15.9
"  3671 Dionysus (1984 KD)",2.199064456396229,.5412535144745289,13.53281349073717,82.08472204498555,204.243689823858,1.008813090815751,3.389315821976707,3.26110769253781,12281,0,519,,,16.4
"  4197 Morpheus (1982 TA)",2.296733046693721,.7715934328738622,12.57615073172855,7.180726820498586,122.4068871117635,.5245889108004684,4.068877182586974,3.48075921239602,23047,0,752,4,2,14.6
"  4401 Aditi (1985 TB)",2.580029047538734,.56473885628308,26.64967354458521,22.90145510550172,68.13333049657463,1.122986394054585,4.037071701022882,4.14424188347822,10800,0,613,,,16.0
"  4486 Mithra (1987 SB)",2.199997774945247,.6629199440862888,3.039671912679717,82.23855048305438,168.8795073919091,.7415753729885841,3.65842017690191,3.26318401313764,11278,0,765,8,9,15.6
"  6063 Jason (1984 KB)",2.212445633968935,.7663515463641352,4.919591519264816,169.3925675477617,337.1595965869822,.5169345011302624,3.907956766807608,3.29091839908547,20745,0,1146,7,3,15.9
"  6318 Cronkite (1990 WA)",2.513035980900686,.4627504033961403,25.88326244232475,71.10687371808962,12.21702101354519,1.350127566989878,3.675944394811493,3.98388012817016,15268,0,489,,,15.6
"  7364 Otonkucera (1996 KS)",2.265054044981953,.1602902097935459,2.339611693088241,182.6988485655828,129.5592270148403,1.901988056918075,2.62812003304583,3.40899257727985,10557,0,1370,,,15.3
"  7670 Kabelac (1995 QJ)",2.383157751539707,.1731639949064328,2.829528371721536,147.8677339254907,271.1785370003723,1.97048063479086,2.795834868288555,3.67906439133831,10548,0,700,,,15.6
"  8201 (1994 AH2)",2.537480771336948,.7069899500800743,9.553473743194955,164.1103568330285,25.13273691703514,.743507367480291,4.331454175193606,4.04214922223773,13221,0,730,0,1,15.7
"  8704 Sadakane (1993 YJ)",2.179087743318692,.1804649907386894,3.487329046307768,296.3687028509149,92.08581139704862,1.785838693901893,2.572336792735491,3.21677199494033,11204,0,1032,,,15.4
"  9258 Johnpauljones (2137 T-2)",2.149229623601423,.1138748639274663,1.483934121328667,214.2690442841159,119.2987780681544,1.904486392664931,2.393972854537914,3.15088410401258,16138,0,1025,,,15.7
"  9288 Santos-Sanz (1981 EV46)",2.180343544313986,.1966655830532178,1.23499070647587,328.8681510058727,354.7119635108382,1.751545009915156,2.609142078712815,3.21955311798256,22847,0,1008,,,15.5
"  9397 Lombardi (1994 RJ)",2.519959715698997,.1473845476141853,3.173298976647791,216.0913423016085,106.2615599929973,2.14855659299473,2.891362838403265,4.00035561033707,8808,0,646,,,15.4
"  9703 Sussenbach (3146 T-2)",2.331951371528555,.06761800461231875,3.725003955780772,106.2066072252649,312.0953828873998,2.174269472932834,2.489633270124275,3.56112679339457,15888,0,645,,,15.8
"  9926 Desch (1981 EU41)",2.383114193785697,.1678230288807681,2.13918059357882,203.1254142996713,242.9560962634508,1.983172751615831,2.783055635955562,3.67896352660366,13185,0,818,,,15.7
" 10106 Lergrav (1992 EV15)",2.343525655572293,.1644814502551899,2.153570661732157,164.0743434842957,309.7114452492439,1.958059157033518,2.728992154111068,3.58767232655502,9161,0,960,,,15.6
