full_name,a,e,i,om,w,q,ad,per_y,data_arc,condition_code,n_obs_used,n_del_obs_used,n_dop_obs_used,H
" 38801 (2000 RS55)",2.985163946293128,.1514952796335447,9.227449422318504,202.439052049328,172.2256987826341,2.532925699497475,3.437402193088781,5.15775232924208,9073,0,741,,,14.6
" 39667 (1995 YU2)",2.834176113777336,.1016760232677565,.8365329343387882,282.9903461873842,138.3493808907886,2.546008357287992,3.12234387026668,4.77142885419183,7498,0,919,,,14.8
" 40783 (1999 TT28)",2.897564099048276,.0781268465010123,.6767734077932629,268.1410420175227,141.5944742433873,2.671186553455087,3.123941644641465,4.93239422249889,7355,0,791,,,15.0
" 40793 (1999 TZ33)",2.899587214179761,.1288281786185332,2.441345326821376,217.4247330451516,175.0422597202883,2.526038674631395,3.273135753728126,4.93756091217659,9630,0,799,,,14.9
" 40888 (1999 TW131)",2.881691728333745,.07550261120907367,.9273420249111127,303.1465318639515,90.53676602886333,2.664116478144959,3.099266978522532,4.89192153114449,7334,0,599,,,15.3
" 47953 (2000 QJ27)",2.83602075627657,.09128973386066845,1.994552795929946,27.81284083526858,313.118541823185,2.57712117621275,3.094920336340389,4.77608788670059,9265,0,752,,,15.1
" 50571 (2000 EA39)",2.862470242856199,.1465199396026213,9.79690495139911,179.1506724252072,124.9821035437147,2.443061275758608,3.28187920995379,4.84305803384761,8060,0,790,,,14.5
" 51788 (2001 ME21)",2.900876806370611,.05676311150135911,3.070971997208868,94.33184123817708,199.5013361368831,2.73621401275889,3.065539599982333,4.9408552507073,8727,0,480,,,15.2
" 52312 (1991 VG9)",2.906118584874116,.09515111316602419,3.357171606639695,91.27805510353156,214.2305615227194,2.629598166530872,3.182639003217358,4.95425321619921,9606,0,812,,,14.8
" 53690 (2000 DK83)",2.958982213087592,.05775633940147865,2.482748033635869,86.48481502233655,4.619900129330925,2.788082232105566,3.129882194069617,5.09004631546027,8183,0,646,,,14.9
" 55856 (1996 VQ15)",2.887726310635552,.09444231651871618,2.805639295317513,57.96668099531699,287.8781261688506,2.615002748387085,3.16044987288402,4.90729591296365,9187,0,752,,,14.9
" 57697 (2001 UJ83)",2.834745082497539,.06979869205734376,2.630682646690518,143.3091551019193,145.5377533795226,2.636883583423224,3.032606581571854,4.77286574267675,8751,0,642,,,15.2
" 59952 (1999 RG222)",3.036971349526899,.1598398020025013,4.874754994064585,98.97322666769163,223.0434754091967,2.55154245033125,3.522400248722548,5.29260209701711,6771,0,661,,,14.7
" 60071 (1999 TY131)",2.867622491202829,.09911578153751646,1.046140350982068,238.4530074130418,148.1793296841706,2.583395846832701,3.151849135572958,4.85613966990953,9155,0,553,,,15.4
" 60089 (1999 TK154)",2.927617036819819,.1498933450817982,8.729226847295951,200.0389900635392,199.5646447976591,2.488786726052434,3.366447347587204,5.00932951887628,9155,0,719,,,14.9
" 60231 (1999 VK148)",2.934509396150357,.1299516230364028,2.121972252562003,153.9668912510718,239.9828471576492,2.553165137305044,3.315853654995671,5.02702979087158,8715,0,594,,,15.2
" 60474 (2000 DT32)",2.975036501596164,.06793923989768719,.4192734629851406,251.3927578373352,190.8116104139773,2.772914783009846,3.177158220182482,5.13152737588559,7748,0,705,,,15.0
" 61497 (2000 QH50)",2.848406874604558,.07203494190287632,2.032279669039977,2.8959636550493,11.08800295506152,2.643222050876666,3.053591698332451,4.80741085948234,6954,0,822,,,15.3
" 61499 (2000 QD51)",2.939895685873613,.08914991773950316,1.81161701959734,19.40035142112276,330.4813752571005,2.67780422731526,3.201987144431966,5.04087680399201,7882,0,508,,,15.0
" 61513 (2000 QP57)",2.839864447545329,.07583774862558634,2.314867766989215,21.38447559324202,352.6183526247571,2.624495521441647,3.055233373649012,4.78580080540915,9612,0,997,,,14.8
" 61908 (2000 QT230)",2.892324311975474,.1264914115472536,2.492080540804956,145.3305923587985,176.2224987061198,2.526470127101257,3.258178496849691,4.91902108886031,8255,0,579,,,15.3
" 62044 (2000 RU65)",2.938357148155041,.1584112154179,10.52120166149836,181.6815615932813,196.3616886028439,2.472888420983927,3.403825875326156,5.03692025323929,6472,0,679,,,14.7
" 62293 (2000 SR113)",2.95844316671372,.1161785437787,2.662729792588795,126.5241296004161,212.1114681364678,2.614735547752874,3.302150785674566,5.08865547605285,9960,0,528,,,15.2
" 62367 (2000 SF150)",2.98382211869365,.07296785799234252,.9871400817238288,281.3402673262816,57.47527669755141,2.766099010062402,3.201545227324899,5.15427511487374,9071,0,691,,,14.8
" 63242 (2001 BJ27)",2.885539888409746,.09191789876927073,5.677714512487923,143.9504158723406,301.7262422560174,2.620307125052207,3.150772651767286,4.90172367973472,7796,0,477,,,15.3
" 66874 (1999 VP50)",2.930009320705446,.1338694966803131,1.748126939059796,1.85885732434554,55.0154747511174,2.537770447673982,3.322248193736911,5.01547078628467,9546,0,805,,,14.9
" 66948 (1999 XN5)",2.902727249805202,.08462534739042518,.9823851917578105,215.9261162831848,209.8898942322447,2.657082947910783,3.148371551699621,4.94558359577606,6476,0,693,,,14.8
" 66995 (1999 XN109)",2.86415999927729,.06780088853078921,3.786426123556368,169.9327585207346,303.7212781349886,2.669967406431945,3.058352592122635,4.84734705451107,6893,0,612,,,15.1
" 69166 (3075 P-L)",3.097361238878455,.24763655526825,7.71110382261176,310.5032966073009,58.49553643099491,2.330341371261195,3.864381106495714,5.45124863632918,20640,0,395,,,15.3
" 71053 (1999 XB93)",2.932753384874539,.09146674137424951,2.389609021259161,164.7700354190749,281.0702235942573,2.664503989505765,3.201002780243313,5.02251820184139,7379,0,489,,,15.1
" 71291 (2000 AS56)",2.875092101966868,.1585300624706442,12.11235786855987,110.4963321863891,356.2826220039692,2.419303571433205,3.330880632500532,4.87512599972971,9661,0,442,,,14.8
" 71697 (2000 FO55)",3.016697366682914,.1871478867472312,6.401285731386682,75.41516545110515,45.36794395808863,2.45212882955227,3.581265903813558,5.23969271846512,7735,0,412,,,15.1
